kappa, group speed, phase speed
647,0.325092,0.25615
648,0.325368,0.256257
649,0.325644,0.256363
650,0.325919,0.25647
651,0.326194,0.256577
652,0.326469,0.256684
653,0.326744,0.256791
654,0.327018,0.256898
655,0.327292,0.257006
656,0.327566,0.257113
657,0.32784,0.25722
658,0.328114,0.257328
659,0.328387,0.257435
660,0.32866,0.257543
661,0.328933,0.257651
662,0.329206,0.257759
663,0.329479,0.257867
664,0.329751,0.257975
665,0.330023,0.258083
666,0.330295,0.258191
667,0.330567,0.2583
668,0.330839,0.258408
669,0.33111,0.258516
670,0.331381,0.258625
671,0.331652,0.258734
672,0.331923,0.258842
673,0.332193,0.258951
674,0.332464,0.25906
675,0.332734,0.259169
676,0.333004,0.259278
677,0.333273,0.259387
678,0.333543,0.259496
679,0.333812,0.259605
680,0.334081,0.259715
681,0.33435,0.259824
682,0.334619,0.259934
683,0.334888,0.260043
684,0.335156,0.260153
685,0.335424,0.260263
686,0.335692,0.260372
687,0.33596,0.260482
688,0.336227,0.260592
689,0.336494,0.260702
690,0.336762,0.260812
691,0.337028,0.260922
692,0.337295,0.261032
693,0.337562,0.261143
694,0.337828,0.261253
695,0.338094,0.261363
696,0.33836,0.261474
697,0.338626,0.261584
698,0.338891,0.261695
699,0.339157,0.261805
700,0.339422,0.261916
701,0.339687,0.262027
702,0.339951,0.262138
703,0.340216,0.262248
704,0.34048,0.262359
705,0.340745,0.26247
706,0.341009,0.262581
707,0.341272,0.262693
708,0.341536,0.262804
709,0.341799,0.262915
710,0.342062,0.263026
711,0.342325,0.263138
712,0.342588,0.263249
713,0.342851,0.26336
714,0.343113,0.263472
715,0.343376,0.263584
716,0.343638,0.263695
717,0.343899,0.263807
718,0.344161,0.263919
719,0.344423,0.26403
720,0.344684,0.264142
721,0.344945,0.264254
722,0.345206,0.264366
723,0.345467,0.264478
724,0.345727,0.26459
725,0.345987,0.264702
726,0.346248,0.264814
727,0.346508,0.264927
728,0.346767,0.265039
729,0.347027,0.265151
730,0.347286,0.265263
731,0.347545,0.265376
732,0.347805,0.265488
733,0.348063,0.265601
734,0.348322,0.265713
735,0.34858,0.265826
736,0.348839,0.265938
737,0.349097,0.266051
738,0.349355,0.266164
739,0.349612,0.266276
740,0.34987,0.266389
741,0.350127,0.266502
742,0.350385,0.266615
743,0.350642,0.266728
744,0.350898,0.266841
745,0.351155,0.266954
746,0.351411,0.267067
747,0.351668,0.26718
748,0.351924,0.267293
749,0.35218,0.267406
750,0.352435,0.267519
751,0.352691,0.267633
752,0.352946,0.267746
753,0.353201,0.267859
754,0.353456,0.267973
755,0.353711,0.268086
756,0.353966,0.268199
757,0.35422,0.268313
758,0.354475,0.268426
759,0.354729,0.26854
760,0.354983,0.268654
761,0.355236,0.268767
762,0.35549,0.268881
763,0.355743,0.268994
764,0.355997,0.269108
765,0.35625,0.269222
766,0.356503,0.269336
767,0.356755,0.26945
768,0.357008,0.269563
769,0.35726,0.269677
770,0.357512,0.269791
771,0.357764,0.269905
772,0.358016,0.270019
773,0.358268,0.270133
774,0.358519,0.270247
775,0.35877,0.270361
776,0.359021,0.270475
777,0.359272,0.270589
778,0.359523,0.270704
779,0.359774,0.270818
780,0.360024,0.270932
781,0.360274,0.271046
782,0.360525,0.27116
783,0.360774,0.271275
784,0.361024,0.271389
785,0.361274,0.271503
786,0.361523,0.271618
787,0.361772,0.271732
788,0.362021,0.271847
789,0.36227,0.271961
790,0.362519,0.272075
791,0.362768,0.27219
792,0.363016,0.272304
793,0.363264,0.272419
794,0.363512,0.272534
795,0.36376,0.272648
796,0.364008,0.272763
797,0.364255,0.272877
798,0.364503,0.272992
799,0.36475,0.273107
800,0.364997,0.273222
801,0.365244,0.273336
802,0.36549,0.273451
803,0.365737,0.273566
804,0.365983,0.273681
805,0.36623,0.273795
806,0.366476,0.27391
807,0.366721,0.274025
808,0.366967,0.27414
809,0.367213,0.274255
810,0.367458,0.27437
811,0.367703,0.274485
812,0.367948,0.2746
813,0.368193,0.274715
814,0.368438,0.27483
815,0.368683,0.274945
816,0.368927,0.27506
817,0.369171,0.275175
818,0.369415,0.27529
819,0.369659,0.275405
820,0.369903,0.27552
821,0.370146,0.275635
822,0.37039,0.27575
823,0.370633,0.275865
824,0.370876,0.27598
825,0.371119,0.276096
826,0.371362,0.276211
827,0.371605,0.276326
828,0.371847,0.276441
829,0.372089,0.276556
830,0.372332,0.276672
831,0.372574,0.276787
832,0.372815,0.276902
833,0.373057,0.277018
834,0.373299,0.277133
835,0.37354,0.277248
836,0.373781,0.277363
837,0.374022,0.277479
838,0.374263,0.277594
839,0.374504,0.27771
840,0.374744,0.277825
841,0.374985,0.27794
842,0.375225,0.278056
843,0.375465,0.278171
844,0.375705,0.278286
845,0.375945,0.278402
846,0.376185,0.278517
847,0.376424,0.278633
848,0.376663,0.278748
849,0.376903,0.278864
850,0.377142,0.278979
851,0.377381,0.279095
852,0.377619,0.27921
853,0.377858,0.279326
854,0.378096,0.279441
855,0.378335,0.279557
856,0.378573,0.279672
857,0.378811,0.279788
858,0.379048,0.279903
859,0.379286,0.280019
860,0.379524,0.280135
861,0.379761,0.28025
862,0.379998,0.280366
863,0.380235,0.280481
864,0.380472,0.280597
865,0.380709,0.280712
866,0.380946,0.280828
867,0.381182,0.280944
868,0.381418,0.281059
869,0.381654,0.281175
870,0.38189,0.281291
871,0.382126,0.281406
872,0.382362,0.281522
873,0.382598,0.281637
874,0.382833,0.281753
875,0.383068,0.281869
876,0.383303,0.281984
877,0.383538,0.2821
878,0.383773,0.282216
879,0.384008,0.282331
880,0.384243,0.282447
881,0.384477,0.282563
882,0.384711,0.282678
883,0.384945,0.282794
884,0.385179,0.28291
885,0.385413,0.283026
886,0.385647,0.283141
887,0.38588,0.283257
888,0.386114,0.283373
889,0.386347,0.283488
890,0.38658,0.283604
891,0.386813,0.28372
892,0.387046,0.283835
893,0.387278,0.283951
894,0.387511,0.284067
895,0.387743,0.284183
896,0.387975,0.284298
897,0.388208,0.284414
898,0.38844,0.28453
899,0.388671,0.284645
900,0.388903,0.284761
901,0.389135,0.284877
902,0.389366,0.284993
903,0.389597,0.285108
904,0.389828,0.285224
905,0.390059,0.28534
906,0.39029,0.285455
907,0.390521,0.285571
908,0.390751,0.285687
909,0.390982,0.285803
910,0.391212,0.285918
911,0.391442,0.286034
912,0.391672,0.28615
913,0.391902,0.286265
914,0.392132,0.286381
915,0.392361,0.286497
916,0.392591,0.286612
917,0.39282,0.286728
918,0.393049,0.286844
919,0.393278,0.28696
920,0.393507,0.287075
921,0.393736,0.287191
922,0.393964,0.287307
923,0.394193,0.287422
924,0.394421,0.287538
925,0.394649,0.287654
926,0.394877,0.287769
927,0.395105,0.287885
928,0.395333,0.288001
929,0.395561,0.288116
930,0.395788,0.288232
931,0.396016,0.288348
932,0.396243,0.288463
933,0.39647,0.288579
934,0.396697,0.288694
935,0.396924,0.28881
936,0.397151,0.288926
937,0.397377,0.289041
938,0.397604,0.289157
939,0.39783,0.289273
940,0.398056,0.289388
941,0.398282,0.289504
942,0.398508,0.289619
943,0.398734,0.289735
944,0.39896,0.289851
945,0.399185,0.289966
946,0.399411,0.290082
947,0.399636,0.290197
948,0.399861,0.290313
949,0.400086,0.290428
950,0.400311,0.290544
951,0.400536,0.290659
952,0.40076,0.290775
